Age,Gender,Annual_Income,Spending_Score,Previous_Purchases,Browsing_Time,Purchased
38,Female,105147,72,26,87,1
18,Female,112080,68,18,105,1
60,Female,22914,12,21,52,0
53,Female,62865,91,19,116,0
44,Female,161874,97,21,19,1
50,Male,116113,91,5,101,1
41,Female,80551,93,5,80,1
37,Female,171368,67,18,37,0
60,Male,129191,3,1,11,0
40,Male,183177,98,2,70,1
22,Female,132007,89,0,55,0
23,Male,107484,52,1,2,0
20,Female,71140,83,13,6,0
60,Female,17933,12,10,17,0
59,Male,136386,59,2,109,1
47,Female,147556,7,18,25,0
20,Female,150703,4,2,74,0
26,Female,187699,12,18,53,1
42,Female,137794,43,16,40,1
27,Female,20933,84,8,74,0
25,Male,104847,85,20,94,1
58,Female,128691,66,0,56,0
45,Female,151444,61,14,15,0
21,Male,73078,91,23,31,1
53,Male,22285,32,18,60,0
24,Male,59367,59,0,82,1
46,Female,36525,56,8,7,0
50,Female,145932,16,21,103,0
50,Male,60956,98,23,8,1
63,Male,55725,79,17,109,1
22,Male,117554,52,30,114,1
60,Female,101587,96,24,105,1
20,Male,142106,64,27,105,1
62,Female,198930,84,14,48,0
34,Female,82822,97,10,17,1
43,Female,100190,66,10,73,1
40,Female,24872,21,5,10,1
28,Female,63330,85,2,62,1
38,Female,145718,51,22,47,1
25,Male,163609,78,26,4,0
33,Female,129062,43,12,75,0
64,Female,34197,92,4,84,1
32,Male,100195,96,21,39,0
53,Male,181495,31,3,25,0
31,Female,24727,2,19,15,1
61,Female,104983,34,23,28,0
61,Male,129118,77,15,82,1
28,Female,114051,80,20,70,1
31,Male,153257,16,16,79,0
65,Female,179487,39,11,109,1
43,Male,46022,78,27,103,1
32,Female,153210,73,17,4,0
36,Female,158005,63,11,98,1
28,Female,60863,7,15,81,1
46,Female,134459,3,5,70,0
57,Female,167336,87,17,71,1
32,Female,72046,65,6,71,0
43,Female,45950,84,17,74,1
63,Female,193555,23,30,12,1
59,Female,133319,52,4,87,1
18,Male,27923,98,15,50,1
20,Female,44574,86,6,101,1
27,Male,76605,15,10,61,1
35,Female,27826,46,5,38,0
55,Female,87368,1,10,48,0
27,Female,97701,69,23,55,1
61,Male,28763,16,26,22,0
18,Female,43812,75,21,83,0
33,Female,123581,44,24,1,0
31,Male,176641,87,24,7,0
50,Female,80502,15,29,4,0
45,Male,93065,27,4,39,1
35,Male,124791,19,23,103,1
59,Female,148569,100,7,13,0
63,Male,173049,41,18,120,1
36,Male,160127,66,14,28,1
42,Female,61268,25,4,56,0
44,Female,174240,46,9,105,0
51,Male,78756,21,16,44,1
48,Male,136392,52,29,7,0
44,Female,38880,18,14,7,1
47,Female,87207,22,16,105,1
26,Female,72101,6,19,83,1
22,Female,106295,1,6,114,1
25,Male,157364,66,6,21,0
21,Male,184326,69,5,108,1
41,Female,27387,26,19,83,0
63,Male,168070,1,12,8,0
28,Male,15101,90,8,115,1
56,Male,67290,40,2,77,0
18,Male,118832,96,20,70,1
59,Female,196270,63,14,78,0
26,Male,193914,13,11,97,1
59,Female,151853,68,11,70,1
39,Female,169963,24,3,7,0
41,Male,193329,85,16,90,1
41,Female,53229,1,11,28,0
49,Female,15631,49,21,50,0
61,Female,154904,4,2,116,0
41,Female,177961,47,11,50,1
57,Male,90511,91,11,70,0
32,Male,106423,19,4,13,0
36,Female,176057,8,17,28,0
34,Male,48674,89,13,11,1
51,Male,20384,98,14,39,0
46,Female,189121,100,2,108,1
43,Female,43763,64,21,91,1
46,Female,91946,64,16,89,0
55,Female,45817,79,11,51,0
53,Male,70792,52,17,65,1
58,Female,64816,50,5,27,1
47,Female,138249,59,25,66,1
26,Female,108726,80,30,28,1
19,Male,70490,98,24,64,0
43,Male,121280,49,28,35,0
24,Female,79424,4,5,108,0
52,Female,197393,53,25,101,1
44,Female,157843,69,8,39,0
45,Male,85248,13,15,5,0
41,Male,63794,37,27,27,1
63,Female,36052,78,1,79,0
57,Female,173375,57,0,33,0
42,Male,40438,95,13,102,1
47,Female,31901,42,7,88,0
46,Female,95781,34,3,92,1
41,Male,58643,54,3,107,0
60,Male,127361,63,23,37,0
22,Male,32951,74,25,93,1
53,Female,85181,72,4,118,1
53,Female,183126,99,4,94,0
22,Female,89945,19,30,45,0
29,Male,136878,48,18,35,1
29,Male,94008,87,4,85,0
24,Male,103452,37,11,33,1
34,Female,98458,62,5,45,1
44,Female,47564,94,14,32,0
64,Male,28130,50,12,76,0
59,Male,176391,19,23,92,1
20,Male,185734,41,26,5,0
57,Male,161296,3,4,7,0
26,Female,20693,54,24,78,0
25,Male,96788,21,25,26,0
32,Male,47074,85,16,33,1
45,Male,45581,94,7,38,1
25,Male,82938,24,22,73,0
39,Male,188035,79,26,29,0
34,Female,16367,10,7,56,0
35,Male,100476,72,8,94,1
35,Male,110173,19,5,7,1
25,Female,66973,65,7,27,1
25,Male,93938,61,14,65,1
47,Female,102177,49,19,80,0
48,Male,158882,64,5,45,0
37,Female,33891,78,6,48,1
28,Female,61662,56,11,24,0
20,Female,95881,44,28,46,1
63,Female,39988,75,17,33,1
63,Male,174699,62,3,111,0
41,Female,15498,24,4,59,1
41,Male,21899,27,6,65,0
48,Male,20835,43,29,64,1
26,Female,78027,48,25,37,0
61,Male,167867,84,4,11,1
33,Female,34334,98,22,39,1
35,Male,150256,71,19,9,0
39,Female,73491,51,10,3,0
35,Female,105279,43,19,19,0
61,Female,97059,1,17,39,0
48,Female,156268,96,10,110,1
52,Female,82299,63,9,74,1
30,Male,40048,66,3,77,0
24,Female,178047,5,18,75,0
51,Female,96174,18,21,80,0
59,Male,37159,83,27,110,1
65,Male,151040,88,2,64,0
24,Female,108293,43,4,78,0
42,Male,98984,84,20,20,0
48,Female,134445,5,1,18,0
38,Male,111746,60,2,56,1
25,Female,20205,7,2,111,0
34,Female,44268,19,13,90,0
37,Female,175204,97,14,72,0
22,Male,157758,96,14,107,1
56,Male,84687,31,0,54,1
63,Male,73114,69,30,17,1
42,Female,44519,79,9,36,0
28,Male,121277,42,1,68,1
45,Male,54631,62,0,70,1
25,Male,48856,55,24,99,1
56,Male,190035,50,29,15,0
56,Male,121302,71,5,58,1
25,Male,105295,2,27,75,0
54,Male,192673,54,20,23,1
56,Female,58022,48,5,79,0
34,Female,30836,35,19,110,0
57,Male,98764,69,1,107,0
34,Male,126778,80,3,110,1
40,Female,21354,36,27,6,1
24,Female,81531,82,26,28,0
47,Female,17583,74,26,12,1
39,Male,156468,13,8,88,1
50,Male,31991,44,18,1,0
32,Female,151462,100,24,67,1
42,Female,44721,21,5,15,0
30,Male,132282,49,12,120,1
36,Male,69857,70,23,43,0
31,Female,173513,16,22,36,1
64,Female,54210,48,3,62,0
22,Male,95055,97,22,65,1
30,Female,65064,29,5,107,0
59,Male,95438,69,10,26,0
60,Female,99576,19,13,43,1
50,Male,68740,82,22,22,0
42,Male,84419,12,21,101,1
41,Male,42914,36,24,62,0
42,Male,107520,70,7,99,1
34,Female,34923,40,6,87,0
27,Female,165815,74,12,110,1
21,Male,34456,19,10,94,0
23,Female,171937,17,29,5,0
54,Female,188657,74,22,114,1
52,Male,135883,93,30,99,1
32,Female,108753,29,18,97,1
57,Male,92780,11,29,105,1
45,Female,52051,62,13,118,0
54,Female,192960,9,2,81,0
61,Male,22676,39,1,9,0
53,Female,17722,59,25,68,1
32,Female,141676,66,19,9,1
43,Male,53923,100,20,107,1
24,Male,91021,68,24,118,0
46,Male,184517,47,18,38,1
41,Male,183526,24,4,3,0
26,Male,78198,23,1,106,0
24,Female,77365,14,5,59,0
60,Male,186060,70,25,37,1
52,Female,126937,18,23,75,0
54,Male,106069,50,0,82,1
58,Female,152497,20,1,75,0
34,Female,93883,88,22,110,0
37,Female,20330,36,16,48,0
61,Male,31637,51,28,87,0
18,Male,113760,74,8,38,0
21,Male,104397,97,22,45,1
64,Female,191294,75,20,91,0
27,Male,24851,25,14,37,1
38,Male,145674,28,21,43,1
50,Male,100721,35,9,1,1
36,Male,47129,65,4,99,1
26,Male,160150,21,30,103,0
57,Male,126350,71,27,12,0
32,Male,92079,28,11,51,1
47,Female,71611,47,16,104,1
24,Female,45731,33,26,117,0
61,Male,61895,76,29,62,1
62,Male,83410,3,6,23,0
48,Male,118273,29,2,9,0
48,Male,135179,28,28,8,0
56,Female,60482,71,3,67,0
29,Male,163054,40,27,71,1
31,Female,96450,54,21,54,1
28,Male,121462,14,23,106,1
41,Male,173906,68,3,21,1
19,Female,84107,77,15,120,1
29,Male,73023,42,19,111,1
44,Male,17731,18,1,58,1
40,Female,135634,39,17,65,1
51,Female,44141,38,24,83,1
39,Female,171515,5,17,58,1
32,Female,104040,34,19,54,0
36,Male,145475,81,3,80,0
61,Male,151359,54,7,52,0
34,Female,156041,9,16,47,0
53,Female,189468,77,20,120,1
46,Female,68447,16,5,80,1
56,Female,48557,44,2,12,0
26,Male,193683,10,27,94,0
51,Male,149396,14,3,34,0
21,Male,77344,60,4,75,1
43,Male,26093,12,6,117,0
22,Female,198107,29,4,71,1
42,Male,51566,64,3,98,0
31,Male,35740,90,7,64,0
20,Female,69840,43,22,18,0
40,Female,97760,12,7,100,0
32,Male,47896,1,5,56,1
34,Male,18179,33,3,80,1
25,Male,74794,33,6,31,0
24,Male,88981,98,21,70,1
37,Female,131651,53,12,118,1
57,Male,65175,19,3,30,0
37,Male,158929,72,24,39,1
24,Female,113175,94,13,43,0
21,Female,75285,48,6,49,1
34,Female,109994,45,28,91,1
23,Female,129457,21,28,4,0
25,Male,18515,54,0,113,0
49,Male,187469,96,8,1,0
54,Female,87303,45,18,98,1
27,Male,36302,49,5,79,0
31,Female,43246,73,4,9,0
34,Male,64997,16,1,108,0
63,Female,57060,53,0,78,1
59,Male,43761,3,0,79,1
39,Male,28303,74,18,11,0
62,Female,35671,62,15,108,1
52,Female,175338,79,25,84,1
61,Male,25917,12,25,20,0
56,Female,24634,2,28,90,0
49,Female,76846,65,29,59,0
47,Female,186161,30,10,39,1
18,Female,168672,100,6,90,1
53,Female,196190,76,27,107,1
42,Male,158399,91,9,76,1
37,Female,111436,70,11,3,1
29,Male,79079,10,25,43,1
54,Female,33903,80,6,20,0
27,Male,66455,18,12,32,0
51,Female,32321,1,4,119,0
37,Male,26560,53,28,55,1
18,Male,71086,81,18,19,1
53,Female,146762,92,21,14,1
46,Female,129792,74,4,88,1
27,Female,57608,95,2,44,0
57,Female,132550,92,23,47,1
43,Male,112270,52,29,36,0
51,Male,180625,31,15,97,0
62,Male,148611,91,23,87,0
52,Male,102601,33,8,86,0
50,Female,64916,21,10,27,1
37,Male,16261,76,0,72,1
36,Female,90546,73,19,112,0
26,Female,17469,89,17,114,1
20,Male,187093,30,30,102,1
19,Male,100594,22,17,25,0
48,Female,80129,16,0,22,0
46,Male,72993,28,1,6,0
26,Female,158512,26,14,103,0
65,Female,29248,44,5,79,0
39,Female,37851,75,12,116,1
34,Female,198912,55,16,102,0
45,Female,179079,80,22,29,0
55,Male,130979,4,14,44,0
34,Female,174572,72,16,74,1
56,Male,29630,41,5,61,0
49,Female,94388,90,10,10,1
42,Male,116713,57,17,45,1
48,Male,122298,64,18,38,0
47,Male,130839,70,4,76,1
57,Female,105560,94,21,83,1
47,Female,175928,26,29,26,0
27,Male,49593,64,4,29,0
34,Female,181993,93,23,85,1
56,Male,174113,80,3,32,1
33,Male,19823,17,30,55,1
25,Female,190987,42,15,28,0
42,Female,185290,34,1,80,0
40,Male,123548,69,14,28,0
50,Female,128655,31,1,8,0
52,Male,108325,12,25,118,1
34,Female,21896,53,9,40,0
60,Male,57641,74,10,45,1
32,Female,180378,42,26,52,1
18,Male,16179,8,19,38,1
46,Female,24216,1,9,10,0
44,Female,76559,49,2,52,0
39,Male,174220,25,25,50,1
45,Female,156234,79,19,30,0
33,Female,21205,75,19,21,0
65,Female,42561,35,22,19,1
19,Female,84690,16,20,87,1
30,Male,58626,79,1,29,1
25,Male,36983,46,15,71,1
41,Female,88762,3,27,88,1
58,Female,128741,27,20,36,1
42,Female,130015,15,0,41,1
25,Female,171182,37,0,99,0
28,Male,136319,80,17,13,0
30,Female,91611,94,1,57,1
59,Male,79567,17,1,27,0
19,Female,160299,92,8,97,1
65,Female,54157,97,19,87,1
47,Male,151595,50,8,51,1
32,Male,100186,38,1,79,0
35,Male,121907,63,27,67,1
42,Female,22829,19,21,77,1
52,Female,56215,32,25,18,0
61,Female,152409,20,0,89,0
24,Female,133659,37,28,77,0
36,Male,165753,68,17,95,1
29,Male,53601,14,24,111,0
53,Male,95761,26,18,52,1
32,Male,159534,58,8,39,0
55,Female,125625,7,4,85,0
58,Female,89945,67,20,15,0
21,Male,173863,63,21,82,1
20,Male,91362,35,23,10,1
56,Female,92909,9,27,39,1
46,Female,64467,24,16,5,0
29,Male,111100,98,21,47,0
25,Male,40515,71,22,87,1
33,Male,75927,38,3,64,0
54,Female,78741,26,13,5,0
32,Male,80666,52,11,94,0
34,Female,51856,36,19,31,1
39,Female,104007,27,7,76,0
50,Female,38087,29,0,88,0
29,Male,57255,32,16,95,1
36,Female,39423,50,6,17,0
35,Female,52147,85,6,24,0
27,Male,39869,46,18,31,1
25,Male,121164,27,0,92,0
31,Male,105620,56,10,72,0
33,Female,165947,66,7,12,1
51,Female,113249,68,30,38,1
61,Female,135427,90,15,40,1
37,Female,114771,16,22,87,0
63,Female,38466,88,29,80,1
20,Male,107886,95,11,19,0
35,Male,156023,84,26,43,1
42,Female,25520,58,6,46,0
36,Male,161097,10,11,12,0
64,Female,61012,75,2,42,1
53,Male,91059,77,12,43,1
47,Male,60556,99,17,48,0
39,Female,46471,4,29,34,0
41,Male,67173,24,5,48,1
37,Female,43334,15,28,104,1
18,Male,122521,44,30,59,0
35,Female,51740,92,19,109,1
60,Male,76484,85,21,34,0
24,Female,134094,74,11,23,0
34,Female,158509,8,8,97,0
60,Male,111778,97,9,11,1
50,Female,72719,35,19,115,0
57,Female,127656,78,15,111,1
20,Male,102824,14,27,20,0
26,Female,63812,70,21,75,0
62,Female,56479,53,13,6,1
26,Male,87080,28,21,97,0
65,Female,149404,13,5,112,0
63,Male,49503,26,18,30,1
31,Male,199450,80,26,69,1
25,Female,69912,25,20,91,0
56,Male,157355,47,29,6,0
63,Male,61317,14,17,21,1
53,Female,115410,83,15,2,1
36,Female,87225,47,8,104,0
30,Male,154873,12,11,6,1
19,Female,132311,70,22,16,1
45,Male,61654,68,1,53,0
56,Male,122163,55,20,55,0
65,Female,67580,36,5,95,1
48,Male,77232,10,14,81,1
46,Female,141759,37,22,46,1
65,Male,177166,91,0,24,0
20,Male,47493,26,28,12,0
32,Male,28861,89,17,69,1
25,Female,128756,100,13,82,0
38,Female,195795,11,4,45,0
18,Male,136700,66,15,37,1
35,Female,22445,47,27,58,1
54,Male,94156,94,18,36,0
64,Male,52450,84,21,73,0
55,Male,131225,16,22,59,0
41,Male,186801,68,26,61,1
58,Male,33218,16,7,20,0
30,Female,167028,57,6,98,0
34,Male,69279,85,25,108,1
36,Male,126491,51,2,56,1
54,Female,161941,41,28,33,1
60,Female,90293,55,22,68,1
53,Male,184752,78,18,110,1
29,Female,141252,22,14,88,1
21,Female,117263,39,1,47,0
43,Female,49103,78,12,114,0
57,Female,196492,46,16,97,0
46,Female,37478,24,25,4,0
27,Male,70383,41,6,16,0
63,Female,192706,33,19,105,1
33,Male,184110,60,5,65,0
20,Female,78171,37,19,78,0
39,Female,95987,33,7,106,1
59,Male,128143,2,8,3,0
34,Female,149277,72,27,55,0
48,Male,95853,76,3,40,0
51,Female,177303,74,16,81,1
62,Male,171507,57,4,33,1
32,Female,61294,55,24,91,1
54,Female,91207,28,20,67,0
31,Male,177585,15,13,95,1
38,Male,85780,32,15,85,1
24,Female,187478,71,24,84,0
60,Male,50818,17,29,82,0
47,Male,45268,87,16,4,0
38,Male,90758,50,2,95,0
63,Male,175822,6,10,115,0
31,Male,132425,81,2,51,0
30,Male,181939,8,22,81,1
40,Female,158782,9,9,82,0
33,Male,39474,93,9,69,1
35,Female,199382,34,16,94,1
28,Male,121113,97,17,117,1
63,Female,84294,33,27,11,1
37,Female,60009,18,22,33,0
45,Female,58818,60,10,86,1
61,Male,100332,32,14,7,0
49,Female,165302,29,30,3,1
65,Male,166839,29,18,13,0
21,Female,157076,2,13,47,0
21,Female,47536,36,25,114,0
59,Male,98219,95,18,88,1
48,Female,98302,77,22,99,1
28,Female,48059,12,10,98,0
48,Male,137264,75,6,49,1
61,Male,107800,88,19,64,1
35,Male,54019,22,29,45,1
48,Female,23642,95,13,92,1
38,Female,68515,59,12,78,1
18,Male,94087,22,10,10,1
44,Male,148056,42,17,26,0
34,Female,197023,56,26,49,1
56,Male,146810,85,0,118,1
62,Female,41458,36,13,10,0
26,Male,63634,19,25,93,1
38,Female,177854,63,13,92,1
64,Male,98434,90,17,34,1
29,Male,155662,54,5,42,0
38,Male,137314,75,11,86,1
21,Female,167626,71,6,15,1
43,Female,183836,41,30,80,1
58,Male,167592,10,28,45,1
61,Female,58057,36,30,78,1
44,Female,16053,68,15,61,0
51,Female,39019,90,25,114,0
53,Male,139519,14,4,59,1
19,Female,102379,24,12,33,1
61,Male,59798,11,20,110,1
18,Male,145558,93,7,104,0
46,Female,57571,6,0,29,0
30,Female,127367,4,9,76,0
26,Male,124255,79,9,62,1
65,Female,176495,96,16,26,1
27,Female,161006,62,1,90,0
20,Female,120159,32,6,22,0
44,Female,22474,61,21,91,0
38,Female,53080,34,11,3,1
43,Male,68107,48,4,64,0
37,Male,129055,89,26,55,1
20,Male,105044,5,22,11,1
45,Male,27487,28,5,102,0
56,Female,74533,100,27,53,1
59,Female,141719,66,2,59,1
32,Female,136244,19,25,94,0
55,Male,117742,8,23,99,1
53,Female,133606,16,22,116,1
36,Female,196098,84,8,13,0
31,Male,114552,70,24,112,1
45,Female,182009,85,26,77,0
57,Male,77904,8,22,83,0
60,Female,195704,85,22,36,1
65,Male,157215,38,11,22,1
23,Female,91874,78,15,22,1
45,Male,31964,3,4,85,0
24,Female,168125,52,26,47,1
19,Female,164777,90,14,52,0
30,Male,177895,57,28,49,1
19,Male,59085,53,14,16,0
44,Female,137504,35,16,30,0
37,Female,187055,64,2,81,0
35,Female,146147,12,24,57,0
33,Male,168682,71,13,103,1
46,Female,115165,18,24,76,0
48,Male,129624,11,27,44,1
46,Female,85547,18,23,53,0
36,Male,183419,55,0,88,1
45,Female,189452,77,29,48,1
45,Male,152881,65,5,42,1
47,Female,31877,92,27,117,1
59,Female,87063,28,20,45,1
48,Male,99792,94,17,12,1
29,Male,131703,28,28,106,0
22,Female,106937,72,4,90,0
52,Male,134618,96,18,104,1
50,Female,26773,89,9,36,1
65,Male,139981,9,26,56,1
50,Male,173149,1,0,44,0
49,Female,96092,19,30,58,0
54,Female,129719,14,1,26,0
33,Female,175503,28,14,119,1
53,Male,162094,21,26,112,0
48,Female,192208,84,21,78,1
46,Female,86001,88,28,96,0
39,Female,42996,12,6,45,0
25,Female,51701,92,18,77,1
55,Male,76859,77,8,111,0
23,Male,170612,82,23,27,1
58,Male,176185,77,19,19,0
41,Male,138197,64,17,32,0
50,Female,26281,99,8,34,0
23,Male,196063,18,20,17,1
62,Male,152692,98,5,113,1
36,Female,174426,91,10,9,1
35,Female,119803,88,2,3,0
56,Male,107305,95,7,14,1
18,Female,36639,25,8,115,0
61,Male,190987,69,22,112,1
57,Male,109709,94,5,88,1
31,Female,34705,83,16,113,1
18,Male,49364,33,3,68,1
58,Female,186948,30,24,33,0
47,Male,98743,81,30,35,1
27,Male,48396,78,23,55,0
60,Female,169777,82,21,28,1
51,Female,176009,37,7,75,1
51,Female,132365,56,1,101,0
34,Female,110689,18,23,86,1
42,Male,135905,85,26,76,1
30,Female,61170,42,22,42,0
37,Female,80683,27,21,58,1
37,Male,191382,73,13,91,1
28,Female,51478,33,13,15,1
61,Male,123835,100,9,68,1
36,Female,135573,76,30,75,1
58,Male,29320,39,15,68,0
64,Male,150665,38,12,28,1
63,Female,158327,51,28,7,1
53,Female,171955,66,30,118,1
22,Female,171038,93,23,13,1
25,Female,199355,59,24,20,0
36,Male,123956,8,29,101,1
